,id,latitude,longitude,elevation,station_name
0,KABC,60.78,161.87,49.0,ANCHORAGE/Bethel
1,KABR,45.45,98.4,397.0,ABERDEEN/Aberdeen
2,KABX,35.13,106.82,1789.0,ALBUQUERQUE/Albuquerque
3,KACG,56.85,135.52,63.0,JUNEAU/Sitka
4,KAEC,64.5,165.28,16.0,FAIRBANKS/Nome
5,KAHG,60.72,151.35,74.0,ANCHORAGE/Nikiski
6,KAIH,59.45,146.3,20.0,ANCHORAGE/Middleton_Island
7,KAKC,58.67,156.62,19.0,ANCHORAGE/King_Salmon
8,KAKQ,36.98,77.0,34.0,WAKEFIELD/Wakefield
9,KAMA,35.23,101.7,1093.0,AMARILLO/Amarillo
10,KAMX,25.6,80.4,4.0,MIAMI/Miami
11,KAPD,65.03,147.5,790.0,FAIRBANKS/Pedro_Dome
12,KAPX,44.9,84.72,446.0,NORTH_CENTRAL_LOWER_MICHIGAN
13,KARX,43.82,91.18,389.0,LA_CROSSE/La_Crosse
14,KATX,48.18,122.48,151.0,SEATTLE/TACOMA/Camano_Island
15,KBBX,39.48,121.62,53.0,SACRAMENTO/Oro_Dam_Blvd_West
16,KBGM,42.18,75.98,490.0,BINGHAMTON/Binghamton
17,KBHX,40.48,124.28,732.0,EUREKA/Humboldt_County
18,KBIS,46.77,100.75,505.0,BISMARCK/Bismarck
19,KBLX,45.85,108.6,1097.0,BILLINGS/Yellowstone_County
20,KBMX,33.17,86.77,197.0,BIRMINGHAM/Alabaster
21,KBOX,41.95,71.13,36.0,BOSTON/Taunton
22,KBRO,25.9,97.42,7.0,BROWNSVILLE/Brownsville
23,KBUF,42.93,78.73,211.0,BUFFALO/Cheektowaga
24,KBYX,24.58,81.7,2.0,MIAMI/Boca_Chica_Key
25,KCAE,33.93,81.12,70.0,COLUMBIA/Columbia
26,KCBW,46.03,67.8,227.0,PORTLAND/Houlton
27,KCBX,43.48,116.23,933.0,BOISE/Ada_County
28,KCCX,40.92,78.0,733.0,CENTRAL_PENNSYLVANIA/Rush
29,KCLE,41.4,81.85,233.0,CLEVELAND/Cleveland
30,KCLX,32.65,81.03,30.0,CHARLESTON/Grays
31,KCRI,35.32,97.27,370.0,OKLAHOMA_CITY/Norman
32,KCRP,27.78,97.5,14.0,CORPUS_CHRISTI/Corpus_Christ
33,KCXX,44.5,73.17,97.0,BURLINGTON/Colchester
34,KCYS,41.15,104.8,1868.0,CHEYENNE/Cheyenne
35,KDAX,38.5,121.67,9.0,SACRAMENTO/Sacramento
36,KDDC,37.75,99.97,789.0,DODGE_CITY/Dodge_City
37,KDFX,29.27,100.27,345.0,AUSTIN/SAN_ANTONIO/US_Hwy_90
38,KDGX,32.17,89.59,186.0,BRANDON/Jackson
39,KDIX,39.93,74.4,45.0,PHILADELPHIA/Manchester
40,KDLH,46.83,92.2,435.0,DULUTH/Duluth
41,KDMX,41.72,93.72,299.0,DES_MOINES/Johnston
42,KDOX,38.82,75.43,15.0,WAKEFIELD/Ellendale_State_Fo
43,KDTX,42.68,83.47,327.0,DETROIT/White_Lake
44,KDVN,41.6,90.57,230.0,QUAD_CITIES/Davenport
45,KDYX,32.53,99.25,462.0,SAN_ANGELO/Shackelford_Count
46,KEAX,38.8,94.25,303.0,KANSAS_CITY/PLEASANT_HILL/Pl
47,KEMX,31.88,110.62,1586.0,TUCSON/Pima_County
48,KENX,42.58,74.05,557.0,ALBANY/East_Berne
49,KEOX,31.45,85.45,132.0,BIRMINGHAM/Fort_Rucker
50,KEPZ,31.87,106.68,1251.0,EL_PASO/Santa_Teresa
51,KESX,35.7,114.88,1483.0,LAS_VEGAS/Nelson
52,KEVX,30.55,85.92,43.0,TALLAHASSEE/Eglin_AFB
53,KEWX,29.7,98.02,193.0,AUSTIN/SAN_ANTONIO/New_Braun
54,KEYX,35.08,117.55,840.0,LAS_VEGAS/Edwards_AFB
55,KFCX,37.02,80.27,874.0,ROANOKE/Floyd_County
56,KFDR,34.35,98.97,386.0,OKLAHOMA_CITY/Altus_AFB
57,KFDX,34.63,103.62,1417.0,ALBUQUERQUE/State_Rd_89
58,KFFC,33.35,84.55,262.0,ATLANTA/Peachtree_City
59,KFSD,43.58,96.72,436.0,SIOUX_FALLS/Sioux_Falls
60,KFSX,34.57,111.18,2261.0,FLAGSTAFF/Coconino
61,KFTG,39.78,104.53,1675.0,DENVER/BOULDER/Denver
62,KFWS,32.57,97.3,208.0,DALLAS/FORT_WORTH/Fort_Worth
63,KGGW,48.2,106.62,694.0,GLASGOW/Glasgow
64,KGJX,39.05,108.2,3045.0,GRAND_JUNCTION/Mesa
65,KGLD,39.37,101.7,1113.0,GOODLAND/Goodland
66,KGRB,44.48,88.1,208.0,GREEN_BAY/Ashwaubenon
67,KGRK,30.72,97.37,164.0,DALLAS/FORT_WORTH/Ft_Hood
68,KGRR,42.88,85.53,237.0,GRAND_RAPIDS/Grand_Rapids
69,KGSP,34.88,82.22,287.0,GREENVILLE/SPARTANBURG/Greer
70,KGUA,13.45,-144.8,80.0,GUAM/Barrigada_Communication
71,KGWX,33.88,88.32,145.0,MEMPHIS/MS_Hwy_8_and_US_Hwy_27
72,KGYX,43.88,70.25,125.0,PORTLAND/Gray
73,KHDX,33.07,106.12,1287.0,EL_PASO/White_Sands_Missile
